Idades;lx;qx;ex
0;100000;0,010321161;80,52
1;98968;0,000686205;80,36
2;98900;0,00043613;79,41
3;98857;0,000328943;78,45
4;98824;0,000267935;77,47
5;98798;0,000228572;76,5
6;98775;0,000201657;75,51
7;98755;0,000183126;74,53
8;98737;0,000171193;73,54
9;98720;0,000165371;72,55
10;98704;0,000166147;71,57
11;98688;0,000174973;70,58
12;98670;0,000204617;69,59
13;98650;0,00023912;68,6
14;98627;0,000265025;67,62
15;98600;0,000319157;66,64
16;98569;0,000365504;65,66
17;98533;0,000402526;64,68
18;98493;0,000425144;63,71
19;98451;0,000437285;62,74
20;98408;0,000448365;61,76
21;98364;0,000463278;60,79
22;98319;0,000478559;59,82
23;98272;0,000495272;58,85
24;98223;0,000513951;57,88
25;98172;0,000533424;56,9
26;98120;0,000555246;55,94
27;98066;0,000582904;54,97
28;98008;0,00061799;54
29;97948;0,000659563;53,03
30;97883;0,00070717;52,07
31;97814;0,000758027;51,1
32;97740;0,000809595;50,14
33;97661;0,000860457;49,18
34;97577;0,000913104;48,22
35;97488;0,000972273;47,27
36;97393;0,001041015;46,31
37;97291;0,001118913;45,36
38;97183;0,001207354;44,41
39;97065;0,001307234;43,46
40;96938;0,001416136;42,52
41;96801;0,001537267;41,58
42;96652;0,001677487;40,64
43;96490;0,001839871;39,71
44;96313;0,002021954;38,78
45;96118;0,002221356;37,86
46;95904;0,00243232;36,94
47;95671;0,002650643;36,03
48;95418;0,002873412;35,13
49;95143;0,003104547;34,23
50;94848;0,003354706;33,33
51;94530;0,00362684;32,44
52;94187;0,003914981;31,56
53;93818;0,004219566;30,68
54;93422;0,004545339;29,81
55;92998;0,004903262;28,94
56;92542;0,005296278;28,08
57;92052;0,005719876;27,23
58;91525;0,006175891;26,38
59;90960;0,006672627;25,54
60;90353;0,007218981;24,71
61;89701;0,007827708;23,89
62;88998;0,008510189;23,07
63;88241;0,009277435;22,26
64;87422;0,010133984;21,47
65;86536;0,011071347;20,68
66;85578;0,012101601;19,91
67;84543;0,013255062;19,15
68;83422;0,014549548;18,4
69;82208;0,015987713;17,66
70;80894;0,017545069;16,94
71;79475;0,019237702;16,23
72;77946;0,021120719;15,54
73;76300;0,023224602;14,87
74;74528;0,025550879;14,21
75;72623;0,028051128;13,57
76;70586;0,030747407;12,95
77;68416;0,03373568;12,34
78;66108;0,03707006;11,75
79;63657;0,040754712;11,19
80;61063;0,044793971;10,64
81;58328;0,048986362;10,12
82;55470;0,05335519;9,61
83;52511;0,05792687;9,13
84;49469;0,062731591;8,66
85;46366;0,067804145;8,2
86;43222;0,073184967;7,76
87;40059;0,078921441;7,34
88;36897;0,085069576;6,92
89;33758;0,091696161;6,52
90;30663;0,098881586;6,13
91;27631;0,106723558;5,74
92;24682;0,115342083;5,37
93;21835;0,12488621;5
94;19108;0,135543322;4,65
95;16518;0,147552122;4,3
96;14081;0,1612211;3,96
97;11811;0,176955282;3,62
98;9721;0,195295713;3,29
99;7822;0,216978906;2,97
100;6125;0,243028039;2,65
101;4637;0,274895018;2,34
102;3362;0,314682984;2,04
103;2304;0,365487195;1,75
104;1462;0,431864517;1,46
105;831;0,520209015;1,19
106;399;0,63764675;0,95
107;144;0,783733871;0,73
108;31;0,924493216;0,58
109;2;0,992150989;0,51
110;0;0,999931843;0,5
111;0;0,999999995;0,5
